Round	Date	Number	Sample	Replicate	Background	Population	Population2	Condition	Condition2	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	4/13/21	239	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TET	45.593	1040.545	3.809554126	18.19933407	14.38977994
1	4/13/21	240	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TMS	37.37	1607.991	3.44894773	22.62386864	19.17492091
1	4/13/21	241	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	ERY	43.294	756.112	3.712264567	15.51379788	11.80153331
1	4/13/21	242	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	NAL	42.629	749.925	3.683643867	15.45019551	11.76655165
1	4/13/21	243	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	PEN	40.218	97.638	3.577958496	5.574866874	1.996908378
1	4/13/21	244	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	STR	39.206	221.619	3.532655856	8.399018911	4.866363055
1	4/13/21	245	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TET	42.328	945.432	3.67061587	17.34763247	13.6770166
1	4/13/21	246	408-3	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TMS	43.238	1111.425	3.709862916	18.80897566	15.09911274
1	1/11/20	1	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	42.01	184.606	3.656801652	7.665632058	4.008830406
1	1/11/20	2	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	47.153	545.507	3.874179405	13.17726341	9.303084009
1	1/11/20	3	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	39.477	39.477	3.544844055	3.544844055	0
1	1/11/20	4	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	48.664	295.575	3.935763243	9.699713635	5.763950393
1	1/11/20	5	WT	1	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	46.182	667.62	3.834082311	14.57772432	10.743642
