Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	3/17/21	88	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	STR	46.355	567.793	3.841256926	13.44373926	9.602482331
1	3/17/21	89	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	TET	43.014	795.388	3.700240728	15.91162668	12.21138596
1	3/17/21	90	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	TMS	41.644	833.029	3.64083739	16.28377616	12.64293877
1	3/17/21	91	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	ERY	44.59	423.057	3.767417925	11.60444852	7.837030597
1	3/17/21	92	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	NAL	44.59	611.155	3.767417925	13.94764061	10.18022268
1	3/17/21	93	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	PEN	43.066	90.597	3.702476679	5.370095042	1.667618363
1	3/17/21	94	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	STR	44.59	396.373	3.767417925	11.23251728	7.465099358
1	3/17/21	95	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	TET	38.906	553.292	3.519114154	13.27095752	9.751843367
1	3/17/21	96	103-1	1	P103	103-FR	103-FR-A	1-day	NA	300	TMS	38.906	827.735	3.519114154	16.23195101	12.71283686
1	3/17/21	97	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	ERY	40.259	413.257	3.579781796	11.46925406	7.889472261
1	3/17/21	98	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	NAL	43.014	621.355	3.700240728	14.06355003	10.3633093
1	3/17/21	99	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	PEN	42.968	42.968	3.698261644	3.698261644	0
1	3/17/21	100	508-4	1	P508	508-FR	508-FR-B	100-day	NA	300	STR	42.69	520.144	3.686278481	12.86728322	9.181004738
